,word,freq_count
477,Fundy Park,1
690,Moncton,1
688,Wood Buffalo,1
680,Ireland,1
670,Midland National Park,1
660,Nairn Falls,1
659,Pemberton,1
658,Whistler,1
656,Sea,1
653,Point Pelee National Park,1
646,Lynn Canyon,1
645,West Lion,1
643,Joffre Lakes,1
642,Coquihalla,1
641,Hope,1
640,Needle Peak,1
627,Kilarney,1
624,Lake Superier Park,1
622,Huron Shelter,1
621,ON Algonquin Park,1
620,Achray,1
619,Eastern Pines,1
616,Cape,1
615,Quesnel,1
698,Grasslands National Park,1
702,Morne,1
703,Quebec Labrador Quebec City Montreal Ottawa Toronto,1
705,Eastern Alberta,1
783,Flower Pot Island,1
778,New Zealand,1
774,Louisburg,1
772,Cavendish,1
769,Grass Lands,1
767,Can,1
763,Nahanni National Park,1
762,Detroit Toronto,1
760,Bruce Penn,1
756,Victoria,1
752,Japan,1
614,Barkerville,1
751,Russia,1
739,Rocky Mountain,1
734,Pointe Wolf,1
732,Gold Creek,1
723,Highland Village,1
722,Louisberg,1
719,Headquarters,1
718,Chignecto,1
717,Point Wolfe,1
715,Fundy NP,1
713,East Kootenay,1
712,Fisher Peak,1
743,Imo Banff,1
789,Anse aux Meadows National Historic Site,1
613,Alaska,1
610,Smithers,1
481,Jasper National,1
1110,Dauphin,1
476,Louise,1
471,South Eastern BC,1
461,Wasagaming,1
454,British Columbia,1
449,Georgian,1
440,Field,1
421,Morris Island Conservation Area,1
420,Pingual,1
419,Ping,1
418,Pingualuit Park,1
417,North,1
416,Inuit,1
415,Nunavik,1
414,Northern Québec,1
404,Jasper Banff,1
402,Mountains,1
401,Fathom,1
400,Scuba Diving,1
399,Pei National Park,1
398,Beach,1
395,Canadian National Parks,1
491,List,1
493,Nahanni,1
496,Writing,1
500,Stone,1
606,The Coastal Trail,1
605,Orphan Lake,1
600,Saguenay Fjords National Park,1
597,Wawa,1
593,Gaspe Quebec,1
587,Peter,1
575,Tyrell Museum,1
571,Beaver Hills Dark Sky Reserve,1
557,Bruce,1
556,Fathom Five,1
542,Prince of Wales,1
612,Hyder,1
539,Nahann,1
533,Zanzibar,1
524,Parc National de la Mauricie,1
523,Saguenay Estuary,1
522,Laurent,1
519,Le Bic,1
518,Quebecois,1
515,Keji ku,1
514,Revelstoke,1
510,Lake,1
508,Valhalla Provencal,1
507,Rouge National Urban Park,1
536,Banff And Jasper National Park,1
799,on Stone Provincial Park,1
800,UNESCO Heritage Site,1
802,Southern Alberta,1
988,Conservative Party of Canada,1
985,Fort McMurray,1
984,Robin,1
