,Lat,Lon,Ispark,Full_name,URL,freq_count2
0,45.6137768,-65.03163099999999,True,Fundy National Park Of Canada,https://www.google.com/maps/place/?q=place_id:ChIJm2oMuthdp0wRwWaSWuhWJMI,14
1,46.0878165,-64.7782313,False,Moncton,https://www.google.com/maps/place/?q=place_id:ChIJZRfUGCm5oEwRxGNOOjMKwQ0,1
2,59.4395031,-112.8764021,True,Wood Buffalo National Park of Canada,https://www.google.com/maps/place/?q=place_id:ChIJMYch5Vblt1MRYCRaAt-2_t4,1
3,56.130366,-106.346771,False,Canada,https://www.google.com/maps/place/?q=place_id:ChIJ2WrMN9MDDUsRpY9Doiq3aJk,267
4,51.4810957,-112.7691902,True,Midland Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJu71_Rz8Nc1MRJUt8hevjlSQ,2
5,50.2967028,-122.8199259,True,Nairn Falls Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJF5FyFSs0h1QREqwa4Nk6i1I,1
6,50.322028,-122.8050498,False,Pemberton,https://www.google.com/maps/place/?q=place_id:ChIJNaA_RqI1h1QRstMzuX5g-UQ,1
7,50.11616859999999,-122.9535117,False,Whistler,https://www.google.com/maps/place/?q=place_id:ChIJh3uVA7I8h1QR9s_1dehBt0o,1
9,41.96277200000001,-82.51844,True,Point Pelee National Park,https://www.google.com/maps/place/?q=place_id:ChIJXzEnaPqUOogRVKzhpnCrzII,5
10,49.34392649999999,-123.01806,True,Lynn Canyon Suspension Bridge,https://www.google.com/maps/place/?q=place_id:ChIJo6mwbbx6hlQRfy2H6pWyz-k,1
11,49.4577777,-123.1863888,False,West Lion,https://www.google.com/maps/place/?q=place_id:ChIJ9zmbv9BnhlQROeNQhBeI-Og,1
12,50.3413367,-122.4762104,True,Joffre Lakes Park (Pre-booked day pass required),https://www.google.com/maps/place/?q=place_id:ChIJYbVCiS_PgFQRFQHwcmBmkxI,1
13,49.36969,-121.3700097,True,Coquihalla Canyon Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJFejMdIz0g1QR40Gxiozq8e8,1
15,49.5711111,-121.1252777,False,Needle Peak,https://www.google.com/maps/place/?q=place_id:ChIJebZiXxzog1QREM-BdGQCxJ4,1
16,46.01304630000001,-81.4017487,True,Killarney Provincial Park,https://www.google.com/maps/place/?q=place_id:ChIJ4Tp56VpsLk0RDhAHnT1UD6s,11
17,47.723087,-86.940716,False,Lake Superior,https://www.google.com/maps/place/?q=place_id:ChIJYXjD7w5CRU0RtRTQhEj3d5w,1
